,year.FRP,FRP,Uniq_ID,sample_day,infection_status,maturity,Holding_Tank,Low_Tag,High_Tag,sample,temp_trtmnt,treatment_tank,where,tube_number,Comments,death,comments,CW,SC,CH,Test_Date.x,Original_sample_conc_ng.ul.x,volume_ul,tyield_ng,RNA_iso_no_Qubit,Test_Date.y,Qubit_tube_conc_ng.ul,Original_sample_conc_ng.ul.y,lyophilizer
161,2017-6154,6154,6154_232_12,12,0,I,2C,3284,3570,NA,cold,2,,232,,,,124.3,3,19.3,4/29/18 17:58,2.38,NA,NA,,NA,NA,NA,
162,2017-6154,6154,6154_436_26,26,0,I,2C,3284,3570,NA,cold,2,,436,,,,124.3,3,19.3,4/29/18 17:59,5.04,NA,NA,,NA,NA,NA,
163,2017-6155,6155,6155_66_9,9,1,I,7A,3286,3371,NA,ambient,7,drain end,66,,,,93.1,3,13.6,4/6/18 14:03,0,NA,NA,,NA,NA,NA,
164,2017-6155,6155,6155_358_12,12,1,I,7A,3286,3371,NA,ambient,7,,358,,,,93.1,3,13.6,4/6/18 14:03,3.71,NA,NA,,NA,NA,NA,
165,2017-6155,6155,6155_476_26,26,1,I,7A,3286,3371,NA,ambient,7,,476,,,,93.1,3,13.6,4/6/18 14:03,0,NA,NA,,NA,NA,NA,
166,2017-6156,6156,6156_24_9,9,0,I,8A,3293,3370,NA,cold,3,drain end,24,,,,120,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
167,2017-6156,6156,6156_242_12,12,0,I,3C,3293,3370,NA,cold,3,,242,,,,120,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
168,2017-6156,6156,6156_446_26,26,0,I,3C,3293,3370,NA,cold,3,,446,,,,120,3,17.1,NA,NA,NA,NA,,8/9/18 13:03,Out of range,Out of range,
169,2017-6157,6157,6157_169_9,9,0,M,1C,3306,3354,NA,cold,2,drain end,169,,,,122.6,4,25.3,NA,NA,NA,NA,,NA,NA,NA,
170,2017-6157,6157,6157_224_12,12,0,M,2C,3306,3354,NA,cold,2,,224,,,,122.6,4,25.3,NA,NA,NA,NA,,NA,NA,NA,
171,2017-6157,6157,6157_423_26,26,0,M,2C,3306,3354,NA,cold,2,,423,,,,122.6,4,25.3,NA,NA,NA,NA,y,NA,NA,NA,
172,2017-6158,6158,6158_101_9,9,1,I,3C,3310,3488,NA,ambient,8,drain end,101,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.",,,124.5,3,18.9,NA,NA,NA,NA,,NA,NA,NA,
173,2017-6158,6158,6158_324_12,12,1,I,8A,3310,3488,NA,ambient,8,,324,,,,124.5,3,18.9,NA,NA,NA,NA,,NA,NA,NA,
174,2017-6158,6158,6158_483_26,26,1,I,8A,3310,3488,NA,ambient,8,,483,,,,124.5,3,18.9,NA,NA,NA,NA,,8/9/18 13:05,Out of range,Out of range,
175,2017-6159,6159,6159_26_9,9,1,I,8A,3311,3551,NA,ambient,9,drain end,26,,,,117,3,16.4,4/6/18 14:02,1.38,NA,NA,,NA,NA,NA,
176,2017-6159,6159,6159_313_12,12,1,I,9A,3311,3551,NA,ambient,9,,313,,,,117,3,16.4,3/26/18 13:35,2,NA,NA,,NA,NA,NA,
177,2017-6159,6159,6159_508_26,26,1,I,9A,3311,3551,NA,ambient,9,,508,,,,117,3,16.4,3/26/18 13:35,0,NA,NA,,NA,NA,NA,
178,2017-6160,6160,6160_7_9,9,0,M,8A,3317,3545,NA,cold,2,drain end,7,,,,108.5,4,22,NA,NA,NA,NA,,NA,NA,NA,
179,2017-6160,6160,6160_238_12,12,0,M,2C,3317,3545,NA,cold,2,,238,,,,108.5,4,22,NA,NA,NA,NA,,NA,NA,NA,
180,2017-6160,6160,6160_426_26,26,0,M,2C,3317,3545,NA,cold,2,,426,,,,108.5,4,22,NA,NA,NA,NA,,8/9/18 13:02,26.4,5.28,
181,2017-6161,6161,6161_53_9,9,0,M,7A,3326,3536,NA,ambient,9,drain end,53,,,,114.1,4,22.3,NA,NA,NA,NA,,NA,NA,NA,
182,2017-6161,6161,6161_302_12,12,0,M,9A,3326,3536,NA,ambient,9,,302,,,,114.1,4,22.3,NA,NA,NA,NA,,NA,NA,NA,
183,2017-6161,6161,6161_512_26,26,0,M,9A,3326,3536,NA,ambient,9,,512,,,,114.1,4,22.3,NA,NA,NA,NA,,8/9/18 13:06,Out of range,Out of range,
184,2017-6162,6162,6162_61_9,9,1,I,7A,3328,3510,NA,cold,1,drain end,61,,,,119,3,17,NA,NA,NA,NA,,NA,NA,NA,
185,2017-6162,6162,6162_220_12,12,1,I,1C,3328,3510,NA,cold,1,,220,,,,119,3,17,NA,NA,NA,NA,,NA,NA,NA,
186,2017-6162,6162,6162_407_26,26,1,I,1C,3328,3510,NA,cold,1,,407,,,,119,3,17,NA,NA,NA,NA,,NA,NA,NA,y
187,2017-6163,6163,6163_130_9,9,1,I,3C,3330,3409,NA,cold,2,drain end,130,,,,118.5,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
188,2017-6163,6163,6163_228_12,12,1,I,2C,3330,3409,NA,cold,2,,228,,,,118.5,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
189,2017-6163,6163,6163_424_26,26,1,I,2C,3330,3409,NA,cold,2,,424,,,,118.5,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
190,2017-6164,6164,6164_71_9,9,1,I,7A,3351,3390,NA,cold,3,drain end,71,3351/3580,,,86.8,3,10.8,NA,NA,NA,NA,,NA,NA,NA,
191,2017-6164,6164,6164_257_12,12,1,I,3C,3351,3580,NA,cold,3,,257,,,,86.8,3,10.8,NA,NA,NA,NA,,NA,NA,NA,
192,2017-6164,6164,6164_460_26,26,1,I,3C,3351,3580,NA,cold,3,,460,,,,86.8,3,10.8,NA,NA,NA,NA,,8/9/18 13:04,Out of range,Out of range,
193,2017-6165,6165,6165_55_9,9,0,I,7A,3362,3539,NA,ambient,7,drain end,55,,,,113.2,3,19.5,3/28/18 14:16,1.16,NA,NA,,NA,NA,NA,
194,2017-6165,6165,6165_360_12,12,0,I,7A,3362,3539,NA,ambient,7,,360,,,,113.2,3,19.5,4/9/18 13:37,1.55,NA,NA,,NA,NA,NA,
195,2017-6165,6165,6165_469_26,26,0,I,7A,3362,3539,NA,ambient,7,,469,,,,113.2,3,19.5,3/28/18 14:17,5.16,NA,NA,,NA,NA,NA,
196,2017-6165,6165,6165_469_26,26,0,I,7A,3362,3539,NA,ambient,7,,469,,,,113.2,3,19.5,4/9/18 13:38,5.16,NA,NA,,NA,NA,NA,
197,2017-6166,6166,6166_21_9,9,0,I,8A,3378,3534,NA,ambient,8,drain end,21,,,,91.8,3,11.3,4/9/18 13:37,1.72,NA,NA,,NA,NA,NA,
198,2017-6166,6166,6166_349_12,12,0,I,8A,3378,3534,NA,ambient,8,,349,,,,91.8,3,11.3,4/9/18 13:38,5.56,NA,NA,,NA,NA,NA,
199,2017-6166,6166,6166_496_26,26,0,I,8A,3378,3534,NA,ambient,8,,496,,,,91.8,3,11.3,4/25/18 14:21,5.88,NA,NA,,NA,NA,NA,
200,2017-6167,6167,6167_45_9,9,0,I,9A,3382,3481,NA,cold,1,drain end,45,,,,110.7,3,12.4,4/29/18 17:58,5.4,NA,NA,,NA,NA,NA,
201,2017-6167,6167,6167_207_12,12,0,I,1C,3382,3481,NA,cold,1,,207,,,,110.7,3,12.4,4/29/18 17:58,1.88,NA,NA,,NA,NA,NA,
202,2017-6167,6167,6167_414_26,26,0,I,1C,3382,3481,NA,cold,1,,414,,,,110.7,3,12.4,4/29/18 17:59,7.52,NA,NA,,NA,NA,NA,
203,2017-6168,6168,6168_27_9,9,1,I,8A,3385,3554,NA,ambient,7,drain end,27,,,,99.5,3,13.7,NA,NA,NA,NA,,NA,NA,NA,
204,2017-6168,6168,6168_357_12,12,1,I,7A,3385,3554,NA,ambient,7,,357,,,,99.5,3,13.7,NA,NA,NA,NA,,NA,NA,NA,
205,2017-6168,6168,6168_466_26,26,1,I,7A,3385,3554,NA,ambient,7,,466,,,,99.5,3,13.7,NA,NA,NA,NA,,NA,NA,NA,y
206,2017-6169,6169,6169_57_9,9,1,I,7A,3391,3550,NA,ambient,8,drain end,57,,,,117.2,3,16.8,NA,NA,NA,NA,,NA,NA,NA,
207,2017-6169,6169,6169_328_12,12,1,I,8A,3391,3550,NA,ambient,8,,328,,,,117.2,3,16.8,NA,NA,NA,NA,,NA,NA,NA,
208,2017-6169,6169,6169_486_26,26,1,I,8A,3391,3550,NA,ambient,8,,486,,,,117.2,3,16.8,NA,NA,NA,NA,,NA,NA,NA,
209,2017-6170,6170,6170_70_9,9,1,I,7A,3397,3553,NA,ambient,9,drain end,70,,,,117.2,3,15.4,NA,NA,NA,NA,,NA,NA,NA,
210,2017-6170,6170,6170_320_12,12,1,I,9A,3397,3553,NA,ambient,9,,320,,,,117.2,3,15.4,NA,NA,NA,NA,,NA,NA,NA,
211,2017-6170,6170,6170_516_26,26,1,I,9A,3397,3553,NA,ambient,9,,516,,,,117.2,3,15.4,NA,NA,NA,NA,,NA,NA,NA,
212,2017-6171,6171,6171_73_9,9,0,I,7A,3400,3464,NA,cold,2,drain end,73,,,,127.4,3,19.3,5/2/18 13:08,5.28,NA,NA,,NA,NA,NA,
213,2017-6171,6171,6171_221_12,12,0,I,2C,3400,3464,NA,cold,2,,221,,,,127.4,3,19.3,5/1/18 17:59,3.22,NA,NA,,NA,NA,NA,
214,2017-6171,6171,6171_427_26,26,0,I,2C,3400,3464,NA,cold,2,,427,,,,127.4,3,19.3,5/1/18 17:59,3.71,NA,NA,,NA,NA,NA,
215,2017-6172,6172,"6172_60,_9",9,0,M,7A,3438,3457,NA,cold,1,drain end,NA,,"short 1 crab in tank 1C: crab 3438/3457 should have been placed in trtmnt 1C, but was returned to unsampled pool after blood draw, then later pulled out again, sampled & put in 9A.",,116.3,3,24.4,NA,NA,NA,NA,,NA,NA,NA,
216,2017-6172,6172,6172_316_12,12,0,M,9A,3438,3457,NA,cold,1,,316,,,,116.3,3,24.4,NA,NA,NA,NA,,NA,NA,NA,
217,2017-6172,6172,6172_517_26,26,0,M,9A,3438,3457,NA,cold,1,,517,,,,116.3,3,24.4,NA,NA,NA,NA,,8/9/18 13:06,Out of range,Out of range,
218,2017-6173,6173,6173_63_9,9,1,I,7A,3448,3468,NA,cold,1,drain end,63,,,,95,3,14.1,NA,NA,NA,NA,,NA,NA,NA,
219,2017-6173,6173,6173_210_12,12,1,I,1C,3448,3468,NA,cold,1,,210,,,,95,3,14.1,NA,NA,NA,NA,,NA,NA,NA,
220,2017-6173,6173,6173_420_26,26,1,I,1C,3448,3468,NA,cold,1,,420,,,,95,3,14.1,NA,NA,NA,NA,,8/9/18 13:02,149,29.8,
221,2017-6174,6174,6174_20_9,9,1,I,8A,3475,3524,NA,cold,2,drain end,20,,,,117.4,3,15.9,NA,NA,NA,NA,,NA,NA,NA,
222,2017-6174,6174,6174_233_12,12,1,I,2C,3475,3524,NA,cold,2,,233,,,,117.4,3,15.9,NA,NA,NA,NA,,NA,NA,NA,
223,2017-6174,6174,6174_433_26,26,1,I,2C,3475,3524,NA,cold,2,,433,,,,117.4,3,15.9,NA,NA,NA,NA,,8/9/18 13:03,Out of range,Out of range,
224,2017-6175,6175,6175_67_9,9,0,I,7A,3498,3523,NA,cold,3,drain end,67,,"Hmm, should have gone into tank 1, but went into tank 9.",,116.4,4,19.6,NA,NA,NA,NA,,NA,NA,NA,
225,2017-6175,6175,6175_246_12,12,0,I,3C,3498,3523,NA,cold,3,,246,,,,116.4,4,19.6,NA,NA,NA,NA,,NA,NA,NA,
226,2017-6175,6175,6175_447_26,26,0,I,3C,3498,3523,NA,cold,3,,447,,,,116.4,4,19.6,NA,NA,NA,NA,,8/9/18 13:03,36,7.2,
227,2017-6176,6176,6176_48_9,9,0,M,9A,3512,3537,NA,ambient,8,drain end,48,,,,102.3,3,20.1,NA,NA,NA,NA,,NA,NA,NA,
228,2017-6176,6176,6176_329_12,12,0,M,8A,3512,3537,NA,ambient,8,,329,,,,102.3,3,20.1,NA,NA,NA,NA,,NA,NA,NA,
229,2017-6176,6176,6176_490_26,26,0,M,8A,3512,3537,NA,ambient,8,,490,,,,102.3,3,20.1,NA,NA,NA,NA,,8/9/18 13:05,Out of range,Out of range,
230,2017-6177,6177,6177_54_9,9,1,I,7A,3532,3594,NA,cold,3,drain end,54,,,,120.2,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
231,2017-6177,6177,6177_250_12,12,1,I,3C,3532,3594,NA,cold,3,,250,,,,120.2,3,17.1,NA,NA,NA,NA,,NA,NA,NA,
232,2017-6177,6177,6177_456_26,26,1,I,3C,3532,3594,NA,cold,3,,456,,,,120.2,3,17.1,NA,NA,NA,NA,,8/9/18 13:04,Out of range,Out of range,
233,2017-6178,6178,6178_124_9,9,0,M,3C,3544,3559,NA,cold,1,drain end,124,,,,138.6,3,30,NA,NA,NA,NA,,NA,NA,NA,
234,2017-6178,6178,6178_218_12,12,0,M,1C,3544,3559,NA,cold,1,,218,,,,138.6,3,30,NA,NA,NA,NA,,NA,NA,NA,
235,2017-6178,6178,6178_410_26,26,0,M,1C,3544,3559,NA,cold,1,,410,,,,138.6,3,30,NA,NA,NA,NA,,NA,NA,NA,
236,2017-6179,6179,6179_34_9,9,0,M,9A,3561,3588,NA,ambient,9,drain end,34,,,,117.4,4,23.2,NA,NA,NA,NA,,NA,NA,NA,
237,2017-6179,6179,6179_315_12,12,0,M,9A,3561,3588,NA,ambient,9,,315,,,,117.4,4,23.2,NA,NA,NA,NA,,NA,NA,NA,
238,2017-6179,6179,6179_515_26,26,0,M,9A,3561,3588,NA,ambient,9,,515,,,,117.4,4,23.2,NA,NA,NA,NA,y,NA,NA,NA,
239,2017-6180,6180,6180_149_9,9,0,I,2C,3610,3813,NA,warm,6,anywhere,149,,,,125.4,3,19.5,4/20/18 14:30,2.51,NA,NA,,NA,NA,NA,
240,2017-6180,6180,6180_370_12,12,0,I,6W,3610,3813,NA,warm,6,,370,,,,125.4,3,19.5,4/20/18 14:30,1.8,NA,NA,,NA,NA,NA,
241,2017-6180,6180,6180_402_26,26,0,I,6W,3610,3813,NA,warm,6,,402,,,,125.4,3,19.5,4/20/18 14:30,1.46,NA,NA,,NA,NA,NA,
242,2017-6181,6181,6181_175_9,9,0,I,1C,3616,3846,NA,ambient,7,drain end,175,,,,133.4,3,20.4,4/28/18 15:42,1.64,NA,NA,,NA,NA,NA,
243,2017-6181,6181,6181_355_12,12,0,I,7A,3616,3846,NA,ambient,7,,355,,,,133.4,3,20.4,4/28/18 15:42,3.32,NA,NA,,NA,NA,NA,
244,2017-6181,6181,6181_470_26,26,0,I,7A,3616,3846,NA,ambient,7,,470,,,,133.4,3,20.4,4/28/18 15:43,5.28,NA,NA,,NA,NA,NA,
245,2017-6182,6182,6182_137_9,9,1,I,2C,3617,3831,NA,ambient,7,drain end,137,,,,141.4,4,21.1,NA,NA,NA,NA,,NA,NA,NA,
246,2017-6182,6182,6182_354_12,12,1,I,7A,3617,3831,NA,ambient,7,,354,BCS+,,,141.4,4,21.1,NA,NA,NA,NA,,NA,NA,NA,
247,2017-6182,6182,6182_462_26,26,1,I,7A,3617,3831,NA,ambient,7,,462,,,,141.4,4,21.1,NA,NA,NA,NA,,NA,NA,NA,
248,2017-6183,6183,6183_141_9,9,1,I,2C,3619,3804,NA,ambient,8,drain end,141,,,,140,3,21.1,5/1/18 17:58,Out of range,NA,NA,,NA,NA,NA,
249,2017-6183,6183,6183_322_12,12,1,I,8A,3619,3804,NA,ambient,8,,322,,,,140,3,21.1,5/1/18 17:59,2.69,NA,NA,,NA,NA,NA,
250,2017-6183,6183,6183_494_26,26,1,I,8A,3619,3804,NA,ambient,8,,494,,,,140,3,21.1,5/1/18 17:59,2.66,NA,NA,,NA,NA,NA,
251,2017-6184,6184,6184_148_9,9,1,I,2C,3628,3809,NA,ambient,9,drain end,148,,,,121.9,3,17.3,5/1/18 14:27,5.08,NA,NA,,NA,NA,NA,
252,2017-6184,6184,6184_318_12,12,1,I,9A,3628,3809,NA,ambient,9,,318,,,,121.9,3,17.3,5/1/18 14:28,2.84,NA,NA,,NA,NA,NA,
253,2017-6184,6184,6184_513_26,26,1,I,9A,3628,3809,NA,ambient,9,,513,,,,121.9,3,17.3,5/1/18 14:28,1.44,NA,NA,,NA,NA,NA,
254,2017-6185,6185,6185_145_9,9,0,I,2C,3630,3824,NA,ambient,8,drain end,145,,,,124.8,3,21.8,4/28/18 15:42,4.4,NA,NA,,NA,NA,NA,
255,2017-6185,6185,6185_336_12,12,0,I,8A,3630,3824,NA,ambient,8,,336,,,,124.8,3,21.8,4/28/18 15:42,2.62,NA,NA,,NA,NA,NA,
256,2017-6185,6185,6185_487_26,26,0,I,8A,3630,3824,NA,ambient,8,,487,,,,124.8,3,21.8,4/28/18 15:43,3.51,NA,NA,,NA,NA,NA,
257,2017-6186,6186,6186_171_9,9,0,I,1C,3638,3843,NA,ambient,9,drain end,171,,,,129.4,3,20.8,4/28/18 15:42,3.41,NA,NA,,NA,NA,NA,
258,2017-6186,6186,6186_306_12,12,0,I,9A,3638,3843,NA,ambient,9,,306,#2,replacement tube,,129.4,3,20.8,4/28/18 15:43,3.03,NA,NA,,NA,NA,NA,
259,2017-6186,6186,6186_510_26,26,0,I,9A,3638,3843,NA,ambient,9,,510,,,,129.4,3,20.8,4/28/18 15:43,1.62,NA,NA,,NA,NA,NA,
260,2017-6187,6187,6187_158_9,9,1,I,1C,3641,3838,NA,cold,2,drain end,158,,,,129.9,3,19.1,NA,NA,NA,NA,,NA,NA,NA,
261,2017-6187,6187,6187_239_12,12,1,I,2C,3641,3838,NA,cold,2,,239,,,,129.9,3,19.1,NA,NA,NA,NA,,NA,NA,NA,
262,2017-6187,6187,6187_431_26,26,1,I,2C,3641,3838,NA,cold,2,,431,,,,129.9,3,19.1,NA,NA,NA,NA,,8/9/18 13:02,41.9,8.38,
263,2017-6188,6188,6188_172_9,9,1,I,1C,3642,3837,NA,cold,3,drain end,172,,,,128.9,3,20.3,NA,NA,NA,NA,,NA,NA,NA,
264,2017-6188,6188,6188_245_12,12,1,I,3C,3642,3837,NA,cold,3,,245,,,,128.9,3,20.3,NA,NA,NA,NA,,NA,NA,NA,
265,2017-6188,6188,6188_443_26,26,1,I,3C,3642,3837,NA,cold,3,,443,,,,128.9,3,20.3,NA,NA,NA,NA,,8/9/18 13:03,36.4,7.28,
266,2017-6189,6189,6189_176_9,9,0,I,1C,3643,3850,NA,cold,1,drain end,176,,,,126.4,3,20.8,2/28/18 18:00,Out of range,NA,NA,,NA,NA,NA,
267,2017-6189,6189,6189_216_12,12,0,I,1C,3643,3850,NA,cold,1,,216,,,,126.4,3,20.8,NA,NA,NA,NA,,NA,NA,NA,
268,2017-6189,6189,6189_422_26,26,0,I,1C,3643,3850,NA,cold,1,,422,,,,126.4,3,20.8,NA,NA,NA,NA,,8/9/18 13:02,Out of range,Out of range,
269,2017-6190,6190,6190_101_9,9,3,M,1C,3648,3841,reserve,cold,1,valve end,101,"There are 2 tubes recorded as 101 (3C, 8A), but there are no tube #s missing.",,,126.2,3,25.8,NA,NA,NA,NA,,NA,NA,NA,
270,2017-6190,6190,6190_256_12,12,3,M,3C,3648,3841,NA,cold,1,,256,,,,126.2,3,25.8,NA,NA,NA,NA,,NA,NA,NA,
271,2017-6190,6190,6190_452_26,26,3,M,3C,3648,3841,NA,cold,1,,452,,,,126.2,3,25.8,NA,NA,NA,NA,,NA,NA,NA,
272,2017-6191,6191,6191_95_9,9,0,I,1C,3649,3852,NA,cold,2,drain end,95,,,,127.2,3,20.5,NA,NA,NA,NA,,NA,NA,NA,
273,2017-6191,6191,6191_227_12,12,0,I,2C,3649,3852,NA,cold,2,,227,,,,127.2,3,20.5,NA,NA,NA,NA,,NA,NA,NA,
274,2017-6191,6191,6191_442_26,26,0,I,2C,3649,3852,NA,cold,2,,442,,,,127.2,3,20.5,NA,NA,NA,NA,,8/9/18 13:03,20,4,
275,2017-6192,6192,6192_178_9,9,1,I,1C,3658,3860,NA,ambient,7,drain end,178,,,,132.2,3,21.7,5/1/18 14:27,26,NA,NA,,NA,NA,NA,
276,2017-6192,6192,6192_359_12,12,1,I,7A,3658,3860,NA,ambient,7,,359,,,,132.2,3,21.7,5/1/18 14:28,5.68,NA,NA,,NA,NA,NA,
277,2017-6192,6192,6192_463_26,26,1,I,7A,3658,3860,NA,ambient,7,,463,,,,132.2,3,21.7,5/1/18 14:28,2.83,NA,NA,,NA,NA,NA,
278,2017-6193,6193,6193_174_9,9,1,I,1C,3662,3866,NA,ambient,8,drain end,174,,,,130.5,3,19,5/1/18 14:28,3.36,NA,NA,,NA,NA,NA,
279,2017-6193,6193,6193_333_12,12,1,I,8A,3662,3866,NA,ambient,8,,333,,,,130.5,3,19,5/1/18 14:28,6.08,NA,NA,,NA,NA,NA,
280,2017-6193,6193,6193_482_26,26,1,I,8A,3662,3866,NA,ambient,8,,482,,,,130.5,3,19,5/1/18 14:29,5.12,NA,NA,,NA,NA,NA,
281,2017-6194,6194,6194_98_9,9,0,M,8A,3663,3862,NA,cold,2,drain end,98,,,,130.6,3,27.6,NA,NA,NA,NA,,NA,NA,NA,
282,2017-6194,6194,6194_235_12,12,0,M,2C,3663,3862,NA,cold,2,,235,,replacement tube,,130.6,3,27.6,NA,NA,NA,NA,,NA,NA,NA,
283,2017-6194,6194,6194_432_26,26,0,M,2C,3663,3862,NA,cold,2,,432,,,,130.6,3,27.6,NA,NA,NA,NA,y,NA,NA,NA,
284,2017-6195,6195,6195_150_9,9,1,I,1C,3664,3854,NA,ambient,9,drain end,150,,,,126.3,3,20.6,5/1/18 17:59,5.04,NA,NA,,NA,NA,NA,
285,2017-6195,6195,6195_304_12,12,1,I,9A,3664,3854,NA,ambient,9,,304,#3,,,126.3,3,20.6,5/1/18 17:59,2.69,NA,NA,,NA,NA,NA,
286,2017-6195,6195,6195_501_26,26,1,I,9A,3664,3854,NA,ambient,9,,501,,,,126.3,3,20.6,5/1/18 18:00,3.41,NA,NA,,NA,NA,NA,
287,2017-6196,6196,6196_170_9,9,1,I,1C,3666,3867,NA,cold,1,drain end,170,,,,140.4,3,20,NA,NA,NA,NA,,NA,NA,NA,
288,2017-6196,6196,6196_203_12,12,1,I,1C,3666,3867,NA,cold,1,,203,,,,140.4,3,20,NA,NA,NA,NA,,NA,NA,NA,
289,2017-6196,6196,6196_408_26,26,1,I,1C,3666,3867,NA,cold,1,,408,,,,140.4,3,20,NA,NA,NA,NA,,8/9/18 13:02,90.2,18,
290,2017-6197,6197,6197_161_9,9,0,M,1C,3667,3864,NA,cold,3,drain end,161,,,,133.9,3,30.3,NA,NA,NA,NA,,NA,NA,NA,
291,2017-6197,6197,6197_244_12,12,0,M,3C,3667,3864,NA,cold,3,,244,,,,133.9,3,30.3,NA,NA,NA,NA,,NA,NA,NA,
292,2017-6197,6197,6197_449_26,26,0,M,3C,3667,3864,NA,cold,3,,449,,,,133.9,3,30.3,NA,NA,NA,NA,,8/9/18 13:03,79.5,15.9,
293,2017-6198,6198,6198_154_9,9,1,I,1C,3668,3870,NA,cold,2,drain end,154,,,,129.6,3,18.5,4/4/18 13:58,1.32,NA,NA,,NA,NA,NA,
294,2017-6198,6198,6198_230_12,12,1,I,2C,3668,3870,NA,cold,2,,230,,,,129.6,3,18.5,4/23/18 18:02,6.2,NA,NA,,NA,NA,NA,
295,2017-6198,6198,6198_428_26,26,1,I,2C,3668,3870,NA,cold,2,,428,,,,129.6,3,18.5,4/4/18 13:58,2.75,NA,NA,,NA,NA,NA,
296,2017-6199,6199,6199_151_9,9,1,I,1C,3670,3871,NA,cold,3,drain end,151,,,,134.1,3,20.6,NA,NA,NA,NA,,NA,NA,NA,
297,2017-6199,6199,6199_254_12,12,1,I,3C,3670,3871,NA,cold,3,,254,,,,134.1,3,20.6,NA,NA,NA,NA,,NA,NA,NA,
298,2017-6199,6199,6199_445_26,26,1,I,3C,3670,3871,NA,cold,3,,445,,,,134.1,3,20.6,NA,NA,NA,NA,,8/9/18 13:03,Out of range,Out of range,
299,2017-6200,6200,6200_94_9,9,3,M,1C,3675,3872,reserve,cold,1,valve end,94,to tank 1,,,130.8,3,28.1,NA,NA,NA,NA,,NA,NA,NA,
300,2017-6200,6200,6200_208_12,12,3,M,1C,3675,3872,NA,cold,1,,208,,,,130.8,3,28.1,NA,NA,NA,NA,,NA,NA,NA,
301,2017-6200,6200,6200_416_26,26,3,M,1C,3675,3872,NA,cold,1,,416,,,,130.8,3,28.1,NA,NA,NA,NA,,NA,NA,NA,
302,2017-6201,6201,6201_163_9,9,1,I,1C,3678,3881,NA,ambient,7,drain end,163,,,,134.2,3,20,NA,NA,NA,NA,,NA,NA,NA,
303,2017-6201,6201,6201_341_12,12,1,I,7A,3678,3881,NA,ambient,7,,341,,,,134.2,3,20,NA,NA,NA,NA,,NA,NA,NA,
304,2017-6201,6201,6201_478_26,26,1,I,7A,3678,3881,NA,ambient,7,,478,,,,134.2,3,20,NA,NA,NA,NA,y,NA,NA,NA,
305,2017-6202,6202,6202_109_9,9,1,I,3C,3679,3893,NA,ambient,8,drain end,109,,,,141.8,3,22.5,NA,NA,NA,NA,,NA,NA,NA,
306,2017-6202,6202,6202_337_12,12,1,I,8A,3679,3893,NA,ambient,8,,337,,,,141.8,3,22.5,NA,NA,NA,NA,,NA,NA,NA,
307,2017-6202,6202,6202_495_26,26,1,I,8A,3679,3893,NA,ambient,8,,495,,,,141.8,3,22.5,NA,NA,NA,NA,,8/9/18 13:06,Out of range,Out of range,
308,2017-6203,6203,6203_113_9,9,0,M,3C,3687,3892,NA,cold,2,drain end,113,,,,133.3,4,28.8,NA,NA,NA,NA,,NA,NA,NA,
309,2017-6203,6203,6203_222_12,12,0,M,2C,3687,3892,NA,cold,2,,222,,,,133.3,4,28.8,NA,NA,NA,NA,,NA,NA,NA,
310,2017-6203,6203,6203_425_26,26,0,M,2C,3687,3892,NA,cold,2,,425,,,,133.3,4,28.8,NA,NA,NA,NA,,NA,NA,NA,y
311,2017-6204,6204,6204_114_9,9,3,M,3C,3701,3709,NA,cold,3,drain end,114,,,,133,3,30,NA,NA,NA,NA,,NA,NA,NA,
312,2017-6204,6204,6204_252_12,12,3,M,3C,3701,3709,NA,cold,3,,252,,,,133,3,30,NA,NA,NA,NA,,NA,NA,NA,
313,2017-6204,6204,6204_448_26,26,3,M,3C,3701,3709,NA,cold,3,,448,,,,133,3,30,NA,NA,NA,NA,,NA,NA,NA,
314,2017-6205,6205,6205_121_9,9,0,I,3C,3703,3728,NA,ambient,7,drain end,121,discarded first draw; discolored. 2nd draw also discolored,,,130,3,22,NA,NA,NA,NA,,NA,NA,NA,
315,2017-6205,6205,6205_342_12,12,0,I,7A,3703,3728,NA,ambient,7,,342,,,,130,3,22,NA,NA,NA,NA,,NA,NA,NA,
316,2017-6205,6205,6205_475_26,26,0,I,7A,3703,3728,NA,ambient,7,,475,,,,130,3,22,NA,NA,NA,NA,,8/9/18 13:04,Out of range,Out of range,
317,2017-6206,6206,6206_103_9,9,1,I,3C,3706,3900,NA,ambient,9,drain end,103,,,,131.6,3,19.9,NA,NA,NA,NA,,NA,NA,NA,
318,2017-6206,6206,6206_319_12,12,1,I,9A,3706,3900,NA,ambient,9,,319,,,,131.6,3,19.9,NA,NA,NA,NA,,NA,NA,NA,
319,2017-6206,6206,6206_509_26,26,1,I,9A,3706,3900,NA,ambient,9,,509,,,,131.6,3,19.9,NA,NA,NA,NA,,8/9/18 13:06,Out of range,Out of range,
320,2017-6207,6207,6207_128_9,9,1,I,3C,3707,3913,NA,cold,1,drain end,128,,,,119.3,3,19,4/23/18 18:01,5.32,NA,NA,,NA,NA,NA,
